Name	Top 5000	Top 1000	Top 500	Top 100	Top 50	Top 10	Top 5	Top 3	Top 1	
Chilli Tortellini	1.000000	0.863000	0.665000	0.207000	0.101000	0.014000	0.004000	0.003000	0.001000	
SooperHighper	1.000000	0.856000	0.603000	0.145000	0.069000	0.007000	0.002000	0.001000	0.001000	
Water Chestnut	1.000000	0.955000	0.806000	0.329000	0.183000	0.022000	0.007000	0.005000	0.000000	
leftlaneopen	1.000000	0.944000	0.786000	0.286000	0.150000	0.015000	0.011000	0.005000	0.001000	
Epsilon	1.000000	0.883000	0.663000	0.194000	0.100000	0.018000	0.007000	0.004000	0.001000	
PengiQuin	1.000000	0.957000	0.799000	0.296000	0.150000	0.023000	0.007000	0.003000	0.002000	
The Great Horror Known Only As Jolene	1.000000	0.858000	0.655000	0.219000	0.101000	0.013000	0.007000	0.004000	0.001000	
WolfPlay013	1.000000	0.856000	0.661000	0.218000	0.099000	0.013000	0.005000	0.001000	0.000000	
pfysche	1.000000	0.866000	0.645000	0.187000	0.090000	0.013000	0.005000	0.004000	0.000000	
cakebrunch	1.000000	0.826000	0.584000	0.149000	0.063000	0.008000	0.003000	0.002000	0.000000	
Usernamey	1.000000	0.876000	0.641000	0.210000	0.106000	0.014000	0.008000	0.005000	0.001000	
Riley	1.000000	0.942000	0.803000	0.310000	0.164000	0.039000	0.013000	0.007000	0.004000	
recc	0.998000	0.686000	0.437000	0.119000	0.050000	0.003000	0.002000	0.001000	0.001000	
Ted	1.000000	0.941000	0.788000	0.273000	0.128000	0.027000	0.014000	0.008000	0.001000	
sictoabu	1.000000	0.933000	0.745000	0.246000	0.116000	0.020000	0.009000	0.004000	0.000000	
tr_	1.000000	0.841000	0.636000	0.188000	0.092000	0.014000	0.009000	0.006000	0.002000	
YTN1112	1.000000	0.692000	0.413000	0.054000	0.018000	0.001000	0.000000	0.000000	0.000000	
X_Ry	1.000000	0.859000	0.667000	0.192000	0.093000	0.009000	0.002000	0.000000	0.000000	
Benjibuddy	1.000000	0.814000	0.586000	0.129000	0.057000	0.007000	0.000000	0.000000	0.000000	
Blue Gelatin	1.000000	0.939000	0.769000	0.236000	0.121000	0.018000	0.003000	0.003000	0.000000	
Indigo	1.000000	0.865000	0.648000	0.183000	0.086000	0.014000	0.005000	0.003000	0.002000	
Gizmote	1.000000	0.778000	0.506000	0.082000	0.030000	0.002000	0.001000	0.000000	0.000000	
Izzeee	1.000000	0.930000	0.726000	0.204000	0.088000	0.008000	0.001000	0.001000	0.000000	
Exhalexa	1.000000	0.823000	0.605000	0.144000	0.065000	0.008000	0.002000	0.001000	0.001000	
The Supervillain	1.000000	0.838000	0.598000	0.148000	0.063000	0.007000	0.003000	0.000000	0.000000	
Lego	1.000000	0.945000	0.768000	0.235000	0.102000	0.011000	0.002000	0.000000	0.000000	
Dan Quixote	1.000000	0.863000	0.639000	0.178000	0.088000	0.009000	0.004000	0.001000	0.000000	
QLF9	1.000000	0.775000	0.510000	0.094000	0.032000	0.003000	0.001000	0.001000	0.000000	
spooky.phd	0.997000	0.668000	0.425000	0.093000	0.046000	0.009000	0.003000	0.003000	0.001000	
RobertoDeMundo	1.000000	0.866000	0.663000	0.187000	0.084000	0.013000	0.006000	0.006000	0.001000	
hamburgerhelper	1.000000	0.893000	0.667000	0.133000	0.054000	0.006000	0.001000	0.001000	0.001000	
cereseries	1.000000	0.842000	0.587000	0.104000	0.041000	0.003000	0.001000	0.000000	0.000000	
chichinitz	1.000000	0.693000	0.398000	0.044000	0.012000	0.002000	0.000000	0.000000	0.000000	
Silent Isolation	1.000000	0.952000	0.775000	0.259000	0.124000	0.020000	0.007000	0.005000	0.000000	
Raptarr8	1.000000	0.934000	0.734000	0.210000	0.095000	0.014000	0.006000	0.003000	0.000000	
JujuMas	1.000000	0.891000	0.675000	0.162000	0.059000	0.010000	0.004000	0.001000	0.000000	
Kapuccino	1.000000	0.913000	0.699000	0.199000	0.099000	0.012000	0.002000	0.001000	0.000000	
MysteriousGrimReaper	1.000000	0.849000	0.621000	0.169000	0.073000	0.007000	0.003000	0.002000	0.000000	
Yuakim	1.000000	0.943000	0.767000	0.225000	0.089000	0.006000	0.000000	0.000000	0.000000	
PG2K	1.000000	0.804000	0.577000	0.141000	0.067000	0.006000	0.003000	0.003000	0.000000	
TaxEvader24	1.000000	0.852000	0.616000	0.150000	0.058000	0.006000	0.002000	0.001000	0.000000	
Jehan	1.000000	0.819000	0.572000	0.126000	0.057000	0.005000	0.002000	0.000000	0.000000	
Happy Sloth Productions	0.943000	0.383000	0.213000	0.035000	0.015000	0.001000	0.001000	0.000000	0.000000	
ilo Poki	1.000000	0.846000	0.638000	0.189000	0.096000	0.014000	0.005000	0.003000	0.001000	
SnowyDayz	1.000000	0.853000	0.642000	0.187000	0.085000	0.014000	0.005000	0.002000	0.000000	
Snowbloxian	1.000000	0.869000	0.643000	0.174000	0.083000	0.011000	0.003000	0.000000	0.000000	
raul	1.000000	0.822000	0.610000	0.136000	0.064000	0.008000	0.001000	0.000000	0.000000	
Xyloba	1.000000	0.926000	0.752000	0.246000	0.122000	0.018000	0.009000	0.004000	0.001000	
Isaac JoRo	1.000000	0.856000	0.651000	0.187000	0.072000	0.007000	0.003000	0.001000	0.000000	
Donut Corpser	1.000000	0.915000	0.697000	0.180000	0.084000	0.011000	0.006000	0.002000	0.000000	
Kevinxiehk	1.000000	0.844000	0.595000	0.160000	0.075000	0.008000	0.004000	0.001000	0.000000	
RAMTurtle	1.000000	0.932000	0.737000	0.207000	0.102000	0.015000	0.006000	0.002000	0.000000	
supernova16	1.000000	0.828000	0.598000	0.133000	0.063000	0.008000	0.003000	0.002000	0.000000	
Midnight Light	1.000000	0.827000	0.568000	0.126000	0.053000	0.003000	0.002000	0.001000	0.000000	
SophisticatedSnow	1.000000	0.771000	0.525000	0.085000	0.033000	0.002000	0.000000	0.000000	0.000000	
Ryzzan	0.998000	0.675000	0.450000	0.104000	0.052000	0.005000	0.000000	0.000000	0.000000	
the buzz bee bumble        (note: please keep it in all lowercase :3	1.000000	0.862000	0.651000	0.201000	0.095000	0.011000	0.004000	0.002000	0.001000	
GreenieGuest	1.000000	0.759000	0.482000	0.071000	0.026000	0.000000	0.000000	0.000000	0.000000	
Algo.00	1.000000	0.779000	0.520000	0.091000	0.029000	0.004000	0.000000	0.000000	0.000000	
GreenyGuy	1.000000	0.886000	0.643000	0.132000	0.053000	0.004000	0.001000	0.001000	0.001000	
Cetus	1.000000	0.816000	0.557000	0.127000	0.055000	0.003000	0.002000	0.000000	0.000000	
YoshiAwesum	1.000000	0.835000	0.547000	0.105000	0.035000	0.003000	0.001000	0.000000	0.000000	
DeeepFriedWatrr	1.000000	0.943000	0.773000	0.218000	0.122000	0.017000	0.006000	0.003000	0.000000	
Crimson Cloud	1.000000	0.843000	0.638000	0.195000	0.103000	0.016000	0.004000	0.002000	0.001000	
A-Gaine	1.000000	0.842000	0.639000	0.196000	0.084000	0.009000	0.004000	0.001000	0.000000	
Undecimator	1.000000	0.953000	0.772000	0.257000	0.138000	0.021000	0.006000	0.004000	0.001000	
LowlyCube	1.000000	0.838000	0.577000	0.109000	0.037000	0.001000	0.000000	0.000000	0.000000	
CookieCrisp	1.000000	0.933000	0.750000	0.229000	0.106000	0.013000	0.009000	0.005000	0.001000	
tekhawaii	1.000000	0.909000	0.687000	0.154000	0.074000	0.006000	0.002000	0.002000	0.000000	
Nagev Evil	1.000000	0.881000	0.639000	0.141000	0.055000	0.007000	0.002000	0.001000	0.000000	
Moralitea	1.000000	0.872000	0.635000	0.145000	0.060000	0.006000	0.004000	0.003000	0.001000	
Numberi	1.000000	0.709000	0.417000	0.042000	0.018000	0.001000	0.000000	0.000000	0.000000	
Owner of the Phattest Dumptruck Imaginable (674kg)	1.000000	0.914000	0.704000	0.189000	0.082000	0.007000	0.001000	0.001000	0.000000	
RRandomyy	1.000000	0.827000	0.562000	0.115000	0.047000	0.005000	0.003000	0.002000	0.000000	
VIQ	1.000000	0.856000	0.614000	0.162000	0.062000	0.010000	0.002000	0.001000	0.000000	
LiamLimeLarm	1.000000	0.905000	0.690000	0.183000	0.088000	0.009000	0.003000	0.001000	0.000000	
Window Paine	1.000000	0.923000	0.747000	0.212000	0.095000	0.011000	0.008000	0.003000	0.000000	
Fred Something	1.000000	0.833000	0.608000	0.165000	0.079000	0.005000	0.001000	0.001000	0.000000	
Himo	1.000000	0.792000	0.553000	0.106000	0.045000	0.006000	0.002000	0.002000	0.000000	
whitecyclosa	1.000000	0.919000	0.737000	0.222000	0.111000	0.014000	0.007000	0.002000	0.000000	
Platinum Wispa	1.000000	0.789000	0.523000	0.113000	0.044000	0.008000	0.002000	0.001000	0.000000	
TheSemiColon;	1.000000	0.677000	0.368000	0.035000	0.009000	0.000000	0.000000	0.000000	0.000000	
namdoy	1.000000	0.794000	0.519000	0.084000	0.038000	0.005000	0.003000	0.001000	0.000000	
Spweep	1.000000	0.846000	0.624000	0.138000	0.060000	0.004000	0.002000	0.001000	0.001000	
Creative Casey	1.000000	0.790000	0.538000	0.122000	0.037000	0.002000	0.001000	0.001000	0.000000	
ExtantChain	1.000000	0.827000	0.603000	0.144000	0.066000	0.008000	0.003000	0.001000	0.000000	
RepMel	1.000000	0.795000	0.539000	0.087000	0.037000	0.004000	0.002000	0.001000	0.000000	
MADDproductions	1.000000	0.847000	0.530000	0.095000	0.041000	0.001000	0.000000	0.000000	0.000000	
#zackd	1.000000	0.905000	0.659000	0.151000	0.065000	0.004000	0.000000	0.000000	0.000000	
Filipino Mathematician 23	1.000000	0.844000	0.604000	0.132000	0.059000	0.005000	0.002000	0.002000	0.000000	
Twisted Taft	1.000000	0.851000	0.591000	0.130000	0.070000	0.011000	0.004000	0.004000	0.000000	
Andyman	1.000000	0.851000	0.580000	0.100000	0.033000	0.002000	0.000000	0.000000	0.000000	
RedSamurott	1.000000	0.822000	0.511000	0.072000	0.021000	0.001000	0.000000	0.000000	0.000000	
Heronix	1.000000	0.905000	0.674000	0.151000	0.072000	0.002000	0.000000	0.000000	0.000000	
Math Enthusiast	1.000000	0.782000	0.498000	0.058000	0.018000	0.001000	0.000000	0.000000	0.000000	
nlcd	0.997000	0.656000	0.427000	0.085000	0.042000	0.002000	0.000000	0.000000	0.000000	
TheMightyMidge	1.000000	0.792000	0.519000	0.082000	0.037000	0.005000	0.000000	0.000000	0.000000	
Deckardv	1.000000	0.865000	0.636000	0.135000	0.057000	0.004000	0.002000	0.000000	0.000000	
viklo	1.000000	0.940000	0.767000	0.255000	0.120000	0.010000	0.004000	0.000000	0.000000	
2 Laws	1.000000	0.822000	0.578000	0.133000	0.062000	0.008000	0.002000	0.001000	0.001000	
Egg Yolk 87	1.000000	0.930000	0.721000	0.222000	0.105000	0.015000	0.004000	0.002000	0.000000	
2manyforks	1.000000	0.786000	0.534000	0.103000	0.036000	0.000000	0.000000	0.000000	0.000000	
MaelstromNitro	1.000000	0.823000	0.597000	0.136000	0.061000	0.007000	0.006000	0.004000	0.002000	
Captain Froakie	1.000000	0.803000	0.563000	0.120000	0.052000	0.008000	0.002000	0.001000	0.000000	
FuntimeAdam262	1.000000	0.833000	0.556000	0.080000	0.030000	0.001000	0.001000	0.001000	0.000000	
$EeveeLikesBREAD$	1.000000	0.748000	0.464000	0.077000	0.019000	0.001000	0.001000	0.001000	0.000000	
mazuat	1.000000	0.774000	0.491000	0.082000	0.031000	0.005000	0.002000	0.002000	0.000000	
Cepukka	1.000000	0.843000	0.636000	0.150000	0.067000	0.005000	0.001000	0.000000	0.000000	
oxiisols	1.000000	0.794000	0.544000	0.128000	0.051000	0.004000	0.001000	0.000000	0.000000	
envi	1.000000	0.674000	0.362000	0.039000	0.016000	0.001000	0.000000	0.000000	0.000000	
Pinkpel	1.000000	0.826000	0.579000	0.128000	0.059000	0.004000	0.002000	0.001000	0.000000	
noef	1.000000	0.814000	0.569000	0.129000	0.054000	0.002000	0.001000	0.000000	0.000000	
We Now Productions	1.000000	0.764000	0.490000	0.090000	0.031000	0.002000	0.001000	0.000000	0.000000	
Meester Tweester	1.000000	0.821000	0.585000	0.137000	0.068000	0.010000	0.005000	0.004000	0.000000	
kalium39	0.999000	0.636000	0.392000	0.059000	0.024000	0.001000	0.000000	0.000000	0.000000	
indefpro	1.000000	0.733000	0.441000	0.053000	0.014000	0.001000	0.000000	0.000000	0.000000	
Some Guy	1.000000	0.809000	0.554000	0.119000	0.058000	0.005000	0.001000	0.000000	0.000000	
EctoHazard	1.000000	0.753000	0.511000	0.077000	0.027000	0.003000	0.001000	0.001000	0.000000	
stone bone	1.000000	0.827000	0.597000	0.154000	0.064000	0.004000	0.002000	0.001000	0.000000	
Bolthebro	1.000000	0.894000	0.651000	0.138000	0.049000	0.004000	0.000000	0.000000	0.000000	
Skivint	1.000000	0.805000	0.551000	0.114000	0.043000	0.003000	0.001000	0.001000	0.000000	
hazzarthelampster	0.997000	0.622000	0.353000	0.073000	0.021000	0.002000	0.002000	0.001000	0.000000	
VerosikaPlaysGames	1.000000	0.826000	0.579000	0.117000	0.053000	0.005000	0.001000	0.001000	0.000000	
GP423	0.998000	0.658000	0.395000	0.071000	0.031000	0.005000	0.002000	0.000000	0.000000	
Ryan ST	1.000000	0.916000	0.688000	0.172000	0.066000	0.002000	0.000000	0.000000	0.000000	
JogoJeshua	1.000000	0.717000	0.425000	0.041000	0.012000	0.000000	0.000000	0.000000	0.000000	
vheeee	1.000000	0.823000	0.582000	0.130000	0.055000	0.006000	0.003000	0.000000	0.000000	
-Vending Machine-	0.994000	0.647000	0.381000	0.066000	0.025000	0.003000	0.001000	0.001000	0.001000	
Fecto Forgo	0.996000	0.632000	0.391000	0.074000	0.030000	0.005000	0.001000	0.001000	0.000000	
bristyl	1.000000	0.654000	0.352000	0.030000	0.011000	0.000000	0.000000	0.000000	0.000000	
SunshineFuture	1.000000	0.818000	0.561000	0.117000	0.045000	0.003000	0.001000	0.001000	0.000000	
TrainGoBoom	1.000000	0.820000	0.595000	0.136000	0.056000	0.006000	0.003000	0.001000	0.000000	
BubbleBluejay	1.000000	0.766000	0.472000	0.068000	0.025000	0.001000	0.000000	0.000000	0.000000	
FishOnTheInternet	1.000000	0.819000	0.562000	0.117000	0.047000	0.004000	0.001000	0.000000	0.000000	
Fuish	1.000000	0.755000	0.456000	0.063000	0.023000	0.002000	0.000000	0.000000	0.000000	
terminatedslime	0.999000	0.621000	0.382000	0.061000	0.022000	0.001000	0.000000	0.000000	0.000000	
fonda1515	1.000000	0.809000	0.522000	0.101000	0.039000	0.003000	0.001000	0.001000	0.000000	
squindigo	1.000000	0.540000	0.236000	0.018000	0.004000	0.000000	0.000000	0.000000	0.000000	
RiccoBaldo	0.998000	0.606000	0.360000	0.055000	0.022000	0.001000	0.000000	0.000000	0.000000	
Shorky	1.000000	0.708000	0.376000	0.041000	0.014000	0.001000	0.001000	0.001000	0.000000	
goobrey	1.000000	0.733000	0.460000	0.077000	0.023000	0.004000	0.002000	0.001000	0.000000	
kuminda.water.supply	1.000000	0.829000	0.577000	0.119000	0.059000	0.005000	0.002000	0.002000	0.000000	
Magnetty Boy	1.000000	0.688000	0.359000	0.042000	0.008000	0.001000	0.000000	0.000000	0.000000	
Kitty Likes Fire	1.000000	0.768000	0.459000	0.065000	0.019000	0.001000	0.000000	0.000000	0.000000	
Frix	1.000000	0.809000	0.540000	0.103000	0.036000	0.002000	0.001000	0.001000	0.000000	
h3nry_s71ckm1n	1.000000	0.665000	0.344000	0.037000	0.012000	0.000000	0.000000	0.000000	0.000000	
awepi	0.997000	0.605000	0.345000	0.065000	0.020000	0.002000	0.001000	0.000000	0.000000	
Pink man	1.000000	0.908000	0.693000	0.158000	0.068000	0.005000	0.002000	0.001000	0.001000	
